,AUDCAD,AUDCHF,AUDJPY,AUDNZD,AUDUSD,CADCHF,CADJPY,CHFJPY,EURAUD,EURCAD,EURCHF,EURGBP,EURJPY,EURNZD,EURUSD,GBPAUD,GBPCAD,GBPCHF,GBPJPY,GBPNZD,GBPUSD,NZDCAD,NZDCHF,NZDJPY,NZDUSD,USDCAD,USDCHF,USDJPY
max,118306,124686,133668,110837,125276,124729,124217,130734,121363,111148,141421,112477,122127,116783,114803,122394,113633,130992,128981,114794,115526,114273,122889,129375,117906,114924,140990,112687
min,100746,100835,100785,100548,100869,100681,100,100629,100,100633,100089,100595,100670,100647,100605,100812,100616,100,100564,100743,100566,100851,100775,100792,100677,100457,100682,100460
