,AUDCAD,AUDCHF,AUDJPY,AUDNZD,AUDUSD,CADCHF,CADJPY,CHFJPY,EURAUD,EURCAD,EURCHF,EURGBP,EURJPY,EURNZD,EURUSD,GBPAUD,GBPCAD,GBPCHF,GBPJPY,GBPNZD,GBPUSD,NZDCAD,NZDCHF,NZDJPY,NZDUSD,USDCAD,USDCHF,USDJPY
max,113424,122889,122405,107653,115791,123255,114013,130734,116109,107688,141315,109903,112973,115589,107283,114301,111549,130992,120143,111062,114457,110418,121592,119029,112235,109342,140990,108299
min,100294,100356,100243,100184,100034,100334,100036,100295,100012,100283,100017,100302,100259,100347,100219,100354,100369,100031,100307,100344,100265,100353,100410,100406,100360,100222,100282,100161
